content,title,id
"Morocco–Saudi Arabia relations

Moroccan–Saudi Arabian relations refers to the current and historical relations between Morocco and Saudi Arabia. Morocco has an embassy in Riyadh and Saudi Arabia has an embassy in Rabat.

Both two nations have a long and traditional friendly relations based on many historical commons. Both Morocco and Saudi Arabia are two monarch states ruled by respective families, the Alaouites and the Al-Sauds, adhere to Sunni Islam, fear of growing Iranian and Shiite influence and their relationship is mostly described as excellent.

Morocco and Saudi Arabia have together taken steps to curb Iranian influence in the Arab world, although Morocco has a moderate approach to Iran while Saudi Arabia is more cautious and hostile of Iran.

Saudi Arabia has recently supported Morocco over the dispute of Western Sahara and doesn't recognize the legitimacy of Sahrawi Arab Democratic Republic, through the Arab League. Saudi Arabia, on the other side, also helps funding several projects in the region with support from Moroccan authorities.

During the current Yemeni Civil War, Morocco participates as part of the anti-Houthi coalition led by Saudi Arabia, with 6 planes and 1,500 troops.

Morocco has taken neutral stance in the conflict, hoping for a better resolution that benefit Qatar and Saudi Arabia, the former had participated together with Morocco in anti-Houthi campaign. Morocco even offers to act as a mediator to slow the tensions between two Gulf Arab states.",Morocco–Saudi_Arabia_relations,1
"Anthony United States Post Office

The Anthony United States Post Office, listed on the National Register of Historic Places as US Post Office--Anthony, is located at 121 W. Steadman in Anthony, Kansas. It was built in 1939. It was listed on the National Register in 1989.

It was deemed significant ""for its historical association with the Treasury Department's Section program and for the artistic significance of the mural that it contains. The mural, ""Turning a Corner"", was painted by St. Louis artist Joe Jones (1901-1963) in 1939 and depicts three farmers using a combine to thresh wheat.",Anthony_United_States_Post_Office,2
"Dumraon (Vidhan Sabha constituency)

Dumraon Vidhan Sabha constituency is one of 243 legislative assembly of legislative assembly of Bihar. It is comes under Buxar lok sabha constituency.

Dumraon comprises Community Blocks of Chaugain, Kesath & Nawanagar; Gram Panchayats of Chilhari, Kushalpur, Bhojpur Kadim, Bhojpur Jadid, Chhatanwar, Nuaon, Sowan, Ariaon, Nandan, Lakhan Dihra & Dumraon (M) of Dumraon CD Block.",Dumraon__Vidhan_Sabha_constituency_,3
"Chaker Khazaal

Chaker Khazaal (born 28 September 1987 in Beirut, Lebanon) is a Palestinian-Canadian author and reporter born to Palestinian filmmaker Mahmoud Khazaal and socio-political activist mother Olfat Mahmoud. Khazaal grew up in Bourj el-Barajneh refugee camp near Beirut and at a young age, participated in several local plays and starred in the Palestinian film ""Sugar of Jaffa"". He is a third generation Palestinian refugee. He later immigrated to Canada and studied at York University as a 2005 recipient of the Global Leader of Tomorrow Award. He graduated in 2009 from York University with a B.A. in International Development Studies.

Khazaal was named number one in the 100 Most Influential Arabs Under 40 by ""Arabian Business"" Magazine. 

""Confessions of a War Child"" is a thriller romantic trilogy of fiction written by Khazaal inspired by true stories of war children around the world. The first part was published in 2013, under the main title followed by the second installment, subtitled ""Lia"" in 2014 and third part of the trilogy subtitled ""Sahara"" in 2015. In 2017, he published the novel ""Tale of Tara"" about the story of a Palestinian refugee from a camp in Lebanon to human traffickers in Europe where she becomes a prostitute and her meeting a bestselling New York writer and the intriguing relation between the two.

Chaker writes in the ""Huffington Post"" about various topics, mainly related to the Middle East and refugees. and speaks about refugee issues on mainstream media. He dedicated his ""Esquire"" Man of the Year Award to Aylan Kurdi, the Syrian refugee child who was found dead on a beach in Turkey. Khazaal founded a program that offers refugees and migrants contractual remote employment in e-marketing, graphics, social media management and web development. In December 2016, New York based NGO Bridges of Understanding awarded Khazaal the Global Trailblazer alongside Arianna Huffington. He served as the the Editor in Chief of StepFeed and YallaFeed online news site in 2017.",Chaker_Khazaal,4
"Vicente Pascual Pastor

Vicente Pascual Pastor (Alcoy, june 3, 1865 - Alcoy, february 2, 1941) was a spanish architect, one of the main architects of the Art Nouveau in Alcoy and the Valencian Art Nouveau.

Vicente Pascual Pastor was formed in the Barcelona School of Architecture and again in his natal city, in 1891 he becomes municipal architect of Alcoy. He alternates this work with the teaching in the School of Arts and Alcoy's Trades, of which he will be the director in 1903. 

Between 1909 and 1913 he becomes mayor of the Alcoy town hall. As a mayor he stimulated the construction of houses for workers in modern and healthy conditions. Inside the social and industrial life of the city, he was present in Alcoy's Savings Bank and in the institution Alcoy's Industrial Circle. He married in 1916 with Elena Perez, who had descent.

The art nouveau style of Vicente Pascual will have a few exuberant characteristics and a direct influence of the french and belgian art nouveau. 

The great majority of the projects realized by Vicente Pascual were built in Alcoy, being more than 60 the works that he realized along his life. He realized also some interesting works in Bocairent (Valencia) and Banyeres de Mariola (Alicante).

Relation of works by chronological order:",Vicente_Pascual_Pastor,5
"List of Swiss football transfers winter 2017–18

This is a list of Swiss football transfers for the 2017–18 winter transfer window by club. Only transfers of clubs in the Swiss Super League are included.

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:",List_of_Swiss_football_transfers_winter_2017–18,6
"Rajpur (Vidhan Sabha constituency)

Rajpur Vidhan Sabha constituency is one of 243 legislative assembly of legislative assembly of Bihar. It is comes under Buxar lok sabha constituency.

Rajpur comprises community blocks of Rajpur & Itarhi; Gram Panchayats Ataon, Kanjharua, Mathila, Mugaon, Kasian & Koransarai of Dumraon CD Block.",Rajpur__Vidhan_Sabha_constituency_,7
"Stephen E. Levinson

Stephen E. Levinson was born on September 27, 1944 in in New York City. 
He earned a B. A. degree in Engineering Sciences at Harvard University in 1966. He earned his M. S. (1972) and Ph.D. (1974) degrees in Electrical Engineering at the University of Rhode Island in Kingston, Rhode Island.

Levinson worked as a design engineer at General Dynamics from 1966-1969, after completing his Bachelor's degree, and as an instructor in computer science at Yale University from 1974-1976, after completing his Ph.D.

In 1976, he joined AT&T Bell Laboratories in Murray Hill, New Jersey. There he studied speech recognition and understanding. 
He was a visiting researcher at the NTT Musashino Electrical Communication Laboratory in Tokyo, Japan in 1979, and a visiting fellow at Cambridge University in 1984. 
In 1990, Levinson was appointed head of Linguistics Research at Bell Labs. He directed research on speech synthesis, speech recognition and the translation of spoken language.

In 1997, Levinson moved to the Department of Electrical and Computer Engineering of the University of Illinois at Urbana-Champaign, where he leads the Language Acquisition and Robotics Lab.
His areas of teaching and research include speech and language processing, speech synthesis, and language acquisition. Levinson is developing computational models of the brain, mind, and language acquisition using an iCub humanoid robot. The robot is designed to learn through experience, similar to the way in which a human child might learn. 
Levinson is the first researcher in North American to work with this type of robot, which was designed in Europe. Skills that researchers hope to teach the robot include juggling, walking, talking, and memory formation. 

Levinson has published more than 100 technical papers and holds several patents.
He is a founding editor of the journal ""Computer Speech and Language"", and an editor of the journal ""Speech Technology"".
Among others books, Levinson is the author of ""Mathematical Models for Speech Technology"" (2005) and co-author of ""Autonomous Robotics and Deep Learning"" (2014) and ""Autonomous Military Robotics"" (2014).",Stephen_E__Levinson,8
"1978 Paris–Roubaix

The 1978 Paris–Roubaix was the 76th edition of the Paris–Roubaix cycle race and was held on 16 April 1978. The race started in Compiègne and finished in Roubaix. The race was won by Francesco Moser of the Sanson team.",1978_Paris–Roubaix,9
"Rajdeep Dasgupta

Rajdeep Dasgupta is a professor of Earth, Environmental, and Planetary Sciences at Rice University. In his research, he studies the role of subsurface melting and magma on the origin and evolution of the Earth and other terrestrial planets.

Rajdeep Dasgupta earned his B.Sc. in 1998 and his M.Sc. in 2000 from Jadavpur University in Kolkata, India and completed his Ph.D. in geology at the University of Minnesota in 2006. Dasgupta was a postdoctoral research associate at the University of Minnesota, and then was a postdoctoral fellow at Lamont-Doherty Earth Observatory at Columbia University. He joined the faculty of Rice University in 2008 where he is now a professor. Dasgupta also is a visiting scientist with the Lunar and Planetary Institute and an associate editor with ""Geochimica et Cosmochimica Acta"". He is a member of the American Geophysical Union, the Mineralogical Society of America, the Geochemical Society, and the Geological Society of America.

In 2011, Dasgupta received the F.W. Clarke Medal from the Geochemical Society, an award given to an early-career scientist for a single outstanding contribution to geochemistry or cosmochemistry. The American Geophysical Union awarded him the James B. Macelwane Medal in 2014. In 2012, he won the Hisashi Kuno award, given annually to an AGU member who has made outstanding contributions to the fields of volcanology, geochemistry or petrology.

Rajdeep Dasgupta is an expert on the deep carbon cycle and his research centers on how carbon, oxygen, and hydrogen in the mantle affect magma melting processes. He has created new models for how rocks melt in carbon-rich environments and calculated carbon’s solubility in the core. Dasgupta has developed a way to use major elements in magmas to estimate their source region and composition in the mantle. He also is researching sulfur solubility, to understand sulfur transport in subduction zones.",Rajdeep_Dasgupta,10
